what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1321048467730
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1321048467731
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1321048467733
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1321048467734
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1321048467739
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1321048467740
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1321048467741
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1321048467742
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1321048467744
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1321048467752
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1321048467753
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1321048467754
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1321048467755
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1321048467757
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1321048467758
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1321048467759
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1321048467761
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1321048467762
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1321048467778
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1321048467779
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1321048467817
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1321048467838
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1321048467839
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1321048467840
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1321048467841
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1321048467841
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1321048467842
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1321048467844
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1321048467845
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1321048467846
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1321048467856
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1321048467857
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1321048467858
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1321048467860
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1321048467861
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1321048467875
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1321048467890
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1321048467894
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1321048467896
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1321048467897
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1321048467899
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1321048467910
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1321048467911
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1321048467911
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1321048467912
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1321048467913
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1321048467926
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1321048467928
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321048467929
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1321048467931
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321048467938
os,sysinfo,,,"linux",1321048467946
arch,sysinfo,,,"x86_64",1321048467946
ws,sysinfo,,,"gtk",1321048467946
locale,sysinfo,,,"en_US",1321048467946
processors,sysinfo,,,"2",1321048467946
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1321048467946
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1321048467946
java.specification.name,sysinfo,,,"Java Platform API Specification",1321048467946
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321048467946
java.specification.version,sysinfo,,,"1.6",1321048467946
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321048467946
java.version,sysinfo,,,"1.6.0_20",1321048467946
java.vm.info,sysinfo,,,"mixed mode",1321048467946
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1321048467946
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321048467946
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321048467946
java.vm.specification.version,sysinfo,,,"1.0",1321048467946
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321048467946
java.vm.version,sysinfo,,,"19.0-b09",1321048467946
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321048474931
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321048475020
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1321048475056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321048505067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321048660505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321048661858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321048871162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321048871466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049128232
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1321049134977
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1321049135025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049138068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049152740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049153287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049159331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049159506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049160049
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049160506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049172621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049176647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049186584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049186610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049186753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049186773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049186873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049187574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049188627
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321049193648
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1321049194375
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1321049194391
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1321049195013
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1321049195067
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1321049195089
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1321049195217
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1321049195227
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1321049195229
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1321049195231
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1321049195318
